settlement_id,transaction_id,settlement_date,settlement_amount
SET2000096,TXN1000107,2025-08-31,83.51
SET2000097,TXN1000108,2025-06-22,191.22
SET2000098,TXN1000110,2025-04-12,23.38
SET2000099,TXN1000112,2025-07-22,104.11
SET2000100,TXN1000113,2025-06-17,280.48
SET2000101,TXN1000114,2025-07-04,13.94
SET2000102,TXN1000115,2025-07-27,79.05
SET2000103,TXN1000116,2025-01-14,31.63
SET2000104,TXN1000117,2025-02-21,100.1
SET2000105,TXN1000118,2025-04-01,106.73
SET2000106,TXN1000119,2025-02-12,55.34
SET2000107,TXN1000120,2025-06-10,110.53
SET2000108,TXN1000121,2025-09-02,165.99
SET2000109,TXN1000122,2025-08-27,58.46
SET2000110,TXN1000123,2025-06-21,22.88
SET2000111,TXN1000124,2025-11-09,208.61
SET2000112,TXN1000125,2025-07-26,129.41
SET2000113,TXN1000126,2025-01-29,104.69
SET2000114,TXN1000128,2025-07-29,146.69
SET2000115,TXN1000129,2025-08-20,341.7
SET2000116,TXN1000130,2025-07-26,60.52
SET2000117,TXN1000131,2025-07-22,71.92
SET2000118,TXN1000132,2025-02-03,28.44
SET2000119,TXN1000133,2025-07-24,37.5
SET2000120,TXN1000135,2025-04-21,74.04
SET2000121,TXN1000137,2025-01-12,89.86
SET2000122,TXN1000138,2025-05-07,32.67
SET2000123,TXN1000140,2025-12-27,31.1
SET2000124,TXN1000141,2025-03-20,77.48
SET2000125,TXN1000142,2025-04-11,18.07
SET2000126,TXN1000143,2025-05-30,75.28
SET2000127,TXN1000144,2025-12-29,53.36
SET2000128,TXN1000145,2025-11-08,77.07
SET2000129,TXN1000146,2025-01-14,17.78
SET2000130,TXN1000147,2025-03-27,112.59
SET2000131,TXN1000148,2025-10-27,52.51
SET2000132,TXN1000149,2025-01-22,79.34
SET2000133,TXN1000150,2025-11-10,14.94
SET2000134,TXN1000151,2025-04-13,24.68
SET2000135,TXN1000152,2025-12-01,48.81
SET2000136,TXN1000153,2025-04-18,200.42
SET2000137,TXN1000154,2025-06-08,101.68
SET2000138,TXN1000155,2025-08-30,73.99
SET2000139,TXN1000156,2025-02-16,31.83
SET2000140,TXN1000157,2025-07-23,27.52
SET2000141,TXN1000158,2025-07-04,83.21
SET2000142,TXN1000159,2025-10-15,116.81
SET2000143,TXN1000160,2025-12-30,78.82
SET2000144,TXN1000161,2025-08-31,261.82
SET2000145,TXN1000162,2025-05-30,38.63
SET2000146,TXN1000163,2025-05-29,76.98
SET2000147,TXN1000164,2025-06-02,17.21
SET2000148,TXN1000165,2025-10-25,78.95
SET2000149,TXN1000166,2025-04-28,216.05
SET2000150,TXN1000167,2025-03-02,28.99
SET2000151,TXN1000168,2025-05-03,130.8
SET2000152,TXN1000169,2025-01-09,211.21
SET2000153,TXN1000170,2025-02-08,38.41
SET2000154,TXN1000171,2025-02-02,96.89
SET2000155,TXN1000172,2025-10-10,235.97
SET2000156,TXN1000173,2025-09-21,80.19
SET2000157,TXN1000174,2025-09-12,125.13
SET2000158,TXN1000175,2025-06-18,16.13
SET2000159,TXN1000176,2025-09-19,107.52
SET2000160,TXN1000177,2025-02-28,100.87
SET2000161,TXN1000178,2025-11-25,23.08
SET2000162,TXN1000179,2025-07-02,30.83
SET2000163,TXN1000180,2025-12-09,108.12
SET2000164,TXN1000181,2025-02-25,52.34
SET2000165,TXN1000183,2025-09-13,85.51
SET2000166,TXN1000184,2025-06-30,69.77
SET2000167,TXN1000185,2025-06-12,58.19
SET2000168,TXN1000187,2025-05-20,126.77
SET2000169,TXN1000188,2025-03-30,102.22
SET2000170,TXN1000189,2025-04-21,47.54
SET2000171,TXN1000190,2025-09-07,179.75
SET2000172,TXN1000191,2025-08-19,112.86
SET2000173,TXN1000192,2025-08-10,90.76
SET2000174,TXN1000193,2025-05-13,71.76
SET2000175,TXN1000194,2025-12-17,99.49
SET2000176,TXN1000196,2025-05-06,80.89
SET2000177,TXN1000197,2025-02-13,247.68
SET2000178,TXN1000198,2025-05-04,79.52
SET2000179,TXN1000200,2025-05-14,41.4
SET2000180,TXN1000202,2025-06-30,57.05
SET2000181,TXN1000203,2025-09-13,190.08
SET2000182,TXN1000204,2025-06-16,33.42
SET2000183,TXN1000205,2025-04-08,46.44
SET2000184,TXN1000206,2025-10-06,41.24
SET2000185,TXN1000207,2025-12-20,289.36
SET2000186,TXN1000208,2025-04-07,57.29
SET2000187,TXN1000209,2025-10-12,43.01
SET2000188,TXN1000210,2025-04-07,12.52
SET2000189,TXN1000212,2025-10-15,101.73
SET2000190,TXN1000213,2025-06-14,101.4
SET2000191,TXN1000214,2025-09-26,39.61
SET2000192,TXN1000215,2025-04-10,41.41
SET2000193,TXN1000216,2025-01-29,295.27
SET2000194,TXN1000217,2025-02-05,576.57
SET2000195,TXN1000218,2025-06-14,167.3
SET2000196,TXN1000219,2025-11-27,232.16
SET2000197,TXN1000220,2025-02-16,275.1
SET2000198,TXN1000221,2025-06-16,392.16
SET2000199,TXN1000222,2025-09-14,52.38
SET2000200,TXN1000223,2025-03-15,33.03
SET2000201,TXN1000224,2025-09-21,289.11
SET2000202,TXN1000225,2025-04-22,30.83
SET2000203,TXN1000226,2025-10-23,29.29
SET2000204,TXN1000227,2025-07-31,29.83
SET2000205,TXN1000228,2025-07-19,60.03
SET2000206,TXN1000229,2025-03-06,13.63
SET2000207,TXN1000230,2025-06-19,21.19
SET2000208,TXN1000231,2025-11-09,40.53
SET2000209,TXN1000232,2025-01-08,25.62
SET2000210,TXN1000233,2025-10-04,156.01
SET2000211,TXN1000234,2025-06-29,67.04
SET2000212,TXN1000235,2025-09-20,105.81
SET2000213,TXN1000236,2025-09-02,96.93
SET2000214,TXN1000237,2025-06-07,56.52
SET2000215,TXN1000238,2025-04-25,147.01
SET2000216,TXN1000239,2025-08-17,95.75
SET2000217,TXN1000241,2025-08-02,17.34
SET2000218,TXN1000242,2025-02-04,101.14
SET2000219,TXN1000243,2025-08-27,24.31
SET2000220,TXN1000244,2025-08-18,90.4
SET2000221,TXN1000245,2025-01-31,71.03
SET2000222,TXN1000246,2025-10-04,22.46
SET2000223,TXN1000247,2025-06-01,82.0
SET2000224,TXN1000249,2025-01-16,77.94
SET2000225,TXN1000251,2025-06-30,39.57
SET2000226,TXN1000252,2025-03-10,107.05
SET2000227,TXN1000253,2025-05-01,38.47
SET2000228,TXN1000254,2025-08-30,28.23
SET2000229,TXN1000256,2025-09-05,141.05
SET2000230,TXN1000257,2025-02-07,108.31
SET2000231,TXN1000258,2025-03-05,56.5
SET2000232,TXN1000259,2025-08-03,14.13
SET2000233,TXN1000260,2025-10-17,218.19
SET2000234,TXN1000261,2025-03-04,13.96
SET2000235,TXN1000262,2025-04-20,106.58
SET2000236,TXN1000263,2025-12-04,360.75
SET2000237,TXN1000264,2025-12-29,75.16
SET2000238,TXN1000265,2025-08-01,84.18
SET2000239,TXN1000266,2025-06-13,90.33
SET2000240,TXN1000267,2025-05-07,78.14
SET2000241,TXN1000269,2025-08-04,33.97
SET2000242,TXN1000270,2025-04-18,30.72
SET2000243,TXN1000271,2025-01-09,51.32
SET2000244,TXN1000272,2025-02-25,268.45
SET2000245,TXN1000273,2025-12-16,42.03
SET2000246,TXN1000275,2025-06-26,157.09
SET2000247,TXN1000276,2025-06-20,124.36
SET2000248,TXN1000277,2025-10-13,150.57
SET2000249,TXN1000278,2025-01-24,207.35
SET2000250,TXN1000279,2025-01-31,85.34
SET2000251,TXN1000280,2025-04-11,46.26
SET2000252,TXN1000281,2025-06-27,75.02
SET2000253,TXN1000282,2025-09-02,50.84
SET2000254,TXN1000284,2025-06-11,43.55
SET2000255,TXN1000285,2025-12-10,98.15
SET2000256,TXN1000287,2025-07-28,74.16
SET2000257,TXN1000289,2025-06-22,114.5
SET2000258,TXN1000290,2025-10-22,116.91
SET2000259,TXN1000291,2025-04-08,207.18
SET2000260,TXN1000292,2025-12-15,194.43
SET2000261,TXN1000293,2025-05-02,63.24
SET2000262,TXN1000294,2025-07-18,31.33
SET2000263,TXN1000295,2025-07-10,34.41
SET2000264,TXN1000296,2025-11-07,84.96
SET2000265,TXN1000298,2025-04-14,81.97
SET2000266,TXN1000299,2025-01-08,43.46
SET2000267,TXN1000300,2025-05-13,210.56
SET2000268,TXN1000301,2025-10-29,20.53
SET2000269,TXN1000302,2025-01-04,41.58
SET2000270,TXN1000303,2025-11-24,28.17
SET2000271,TXN1000305,2025-02-23,180.77
SET2000272,TXN1000306,2025-04-21,52.97
SET2000273,TXN1000307,2025-07-22,72.33
SET2000274,TXN1000308,2025-04-26,110.04
SET2000275,TXN1000309,2025-02-09,51.0
SET2000276,TXN1000310,2025-09-02,90.57
SET2000277,TXN1000311,2025-09-03,81.5
SET2000278,TXN1000312,2025-02-13,26.99
SET2000279,TXN1000314,2025-03-31,88.56
SET2000280,TXN1000315,2025-08-29,186.0
SET2000281,TXN1000316,2025-09-24,185.86
SET2000282,TXN1000318,2025-12-09,98.33
SET2000283,TXN1000319,2025-10-08,47.91
SET2000284,TXN1000320,2025-04-28,63.36
SET2000285,TXN1000321,2025-02-09,60.89
SET2000286,TXN1000322,2025-08-13,48.12
SET2000287,TXN1000323,2025-12-01,90.59
SET2000288,TXN1000324,2025-12-22,94.03
SET2000289,TXN1000326,2025-03-28,159.26
SET2000290,TXN1000327,2025-01-14,15.34
SET2000291,TXN1000328,2025-02-21,55.81
SET2000292,TXN1000329,2025-07-22,167.24
SET2000293,TXN1000330,2025-07-19,108.41
SET2000294,TXN1000332,2025-04-24,322.16
SET2000295,TXN1000333,2025-10-30,46.9
SET2000296,TXN1000334,2025-06-18,13.44
SET2000297,TXN1000335,2025-10-23,95.79
SET2000298,TXN1000336,2025-12-18,16.07
SET2000299,TXN1000337,2025-04-26,34.29
SET2000300,TXN1000338,2025-03-16,109.75
SET2000301,TXN1000339,2025-12-14,46.12
SET2000302,TXN1000342,2025-08-15,132.53
SET2000303,TXN1000343,2025-07-07,17.24
SET2000304,TXN1000344,2025-11-27,191.5
SET2000305,TXN1000345,2025-04-05,45.59
SET2000306,TXN1000346,2025-12-28,226.99
SET2000307,TXN1000347,2025-12-08,34.04
SET2000308,TXN1000348,2025-03-07,311.01
SET2000309,TXN1000349,2025-03-02,31.0
SET2000310,TXN1000350,2025-07-15,15.88
SET2000311,TXN1000351,2025-01-17,69.03
SET2000312,TXN1000352,2025-04-20,178.97
SET2000313,TXN1000353,2025-06-08,125.54
SET2000314,TXN1000354,2025-12-20,169.08
SET2000315,TXN1000355,2025-12-29,127.54
SET2000316,TXN1000356,2025-02-25,34.6
SET2000317,TXN1000357,2025-11-23,123.12
SET2000318,TXN1000358,2025-02-03,71.83
SET2000319,TXN1000359,2025-10-01,37.8
SET2000320,TXN1000360,2025-11-05,76.98
SET2000321,TXN1000361,2025-11-22,63.75
SET2000322,TXN1000362,2025-03-23,207.02
SET2000323,TXN1000363,2025-11-23,44.17
SET2000324,TXN1000364,2025-02-13,42.55
SET2000325,TXN1000365,2025-07-09,38.13
SET2000326,TXN1000366,2025-06-21,304.14
SET2000327,TXN1000367,2025-04-26,39.88
SET2000328,TXN1000368,2025-01-09,188.19
SET2000329,TXN1000369,2025-10-09,29.22
SET2000330,TXN1000370,2025-05-04,100.01
SET2000331,TXN1000371,2025-08-30,82.27
SET2000332,TXN1000372,2025-05-30,178.88
SET2000333,TXN1000373,2025-05-17,159.29
SET2000334,TXN1000374,2025-11-22,71.2
SET2000335,TXN1000375,2025-02-05,43.39
SET2000336,TXN1000376,2025-09-26,244.68
SET2000337,TXN1000378,2025-05-19,10.87
SET2000338,TXN1000379,2025-04-06,15.08
SET2000339,TXN1000380,2025-01-02,18.32
SET2000340,TXN1000381,2025-12-08,107.4
SET2000341,TXN1000382,2025-12-12,392.12
SET2000342,TXN1000384,2025-01-12,35.66
SET2000343,TXN1000386,2025-01-26,229.62
SET2000344,TXN1000387,2025-10-31,35.5
SET2000345,TXN1000388,2025-11-22,106.98
SET2000346,TXN1000389,2025-02-25,52.83
SET2000347,TXN1000390,2025-09-30,536.86
SET2000348,TXN1000391,2025-03-07,74.86
SET2000349,TXN1000392,2025-05-15,88.64
SET2000350,TXN1000393,2025-08-07,71.34
SET2000351,TXN1000394,2025-09-20,47.86
SET2000352,TXN1000395,2025-11-16,142.58
SET2000353,TXN1000396,2025-01-18,26.38
SET2000354,TXN1000397,2025-03-13,13.44
SET2000355,TXN1000398,2025-04-15,59.14
SET2000356,TXN1000399,2025-04-24,128.05
SET2000357,TXN1000400,2026-01-01,41.9
SET2000358,TXN1000401,2025-10-11,77.42
SET2000359,TXN1000402,2025-04-27,25.11
SET2000360,TXN1000403,2025-12-22,156.04
SET2000361,TXN1000404,2025-07-02,112.34
SET2000362,TXN1000406,2025-06-08,76.32
SET2000363,TXN1000407,2025-02-22,21.87
SET2000364,TXN1000408,2025-12-08,22.67
SET2000365,TXN1000409,2025-01-06,60.49
SET2000366,TXN1000410,2025-03-05,100.58
SET2000367,TXN1000411,2025-03-25,104.74
SET2000368,TXN1000412,2025-04-12,49.88
SET2000369,TXN1000413,2025-02-18,121.06
SET2000370,TXN1000414,2025-01-07,207.81
SET2000371,TXN1000415,2025-09-05,62.12
SET2000372,TXN1000416,2025-12-20,85.43
SET2000373,TXN1000417,2025-02-14,56.47
SET2000374,TXN1000418,2025-04-19,60.28
SET2000375,TXN1000419,2025-07-04,76.37
SET2000376,TXN1000421,2025-09-11,138.69
SET2000377,TXN1000422,2025-10-09,129.04
SET2000378,TXN1000423,2025-08-01,46.39
SET2000379,TXN1000424,2025-06-02,32.51
SET2000380,TXN1000425,2025-03-14,91.07
SET2000381,TXN1000426,2025-11-12,180.37
SET2000382,TXN1000427,2025-10-21,264.73
SET2000383,TXN1000428,2025-01-10,9.37
SET2000384,TXN1000429,2025-09-20,472.06
SET2000385,TXN1000430,2025-01-31,93.09
SET2000386,TXN1000432,2025-10-29,16.58
SET2000387,TXN1000433,2025-02-17,55.17
SET2000388,TXN1000434,2025-06-08,128.8
SET2000389,TXN1000435,2025-02-15,26.05
SET2000390,TXN1000436,2025-07-27,6.62
SET2000391,TXN1000437,2025-12-06,87.22
SET2000392,TXN1000438,2025-01-30,64.08
SET2000393,TXN1000439,2025-05-26,211.26
SET2000394,TXN1000440,2025-12-22,58.68
SET2000395,TXN1000441,2025-04-20,62.22
SET2000396,TXN1000442,2025-02-18,116.53
SET2000397,TXN1000443,2025-06-28,152.45
SET2000398,TXN1000444,2025-07-05,37.83
SET2000399,TXN1000445,2025-08-30,141.97
SET2000400,TXN1000446,2025-04-26,43.93
SET2000401,TXN1000447,2025-12-15,67.57
SET2000402,TXN1000450,2025-12-17,86.03
SET2000403,TXN1000451,2025-12-04,28.09
SET2000404,TXN1000453,2025-01-10,57.38
SET2000405,TXN1000454,2025-08-06,145.04
SET2000406,TXN1000455,2025-07-23,95.56
SET2000407,TXN1000456,2025-02-24,80.93
SET2000408,TXN1000457,2025-08-21,66.31
SET2000409,TXN1000458,2025-11-03,85.39
SET2000410,TXN1000459,2025-02-08,30.11
SET2000411,TXN1000460,2025-09-22,124.48
SET2000412,TXN1000461,2025-02-21,131.24
SET2000413,TXN1000463,2025-06-02,94.6
SET2000414,TXN1000464,2025-01-03,16.89
SET2000415,TXN1000465,2025-12-19,77.02
SET2000416,TXN1000466,2025-03-03,59.95
SET2000417,TXN1000467,2025-08-06,182.62
SET2000418,TXN1000468,2025-03-08,56.89
SET2000419,TXN1000469,2025-12-07,133.61
SET2000420,TXN1000470,2025-09-27,48.77
SET2000421,TXN1000471,2025-10-22,10.71
SET2000422,TXN1000472,2025-06-07,55.68
SET2000423,TXN1000473,2025-06-21,78.05
SET2000424,TXN1000474,2025-08-20,75.24
SET2000425,TXN1000475,2025-10-14,76.15
SET2000426,TXN1000476,2025-11-06,44.47
SET2000427,TXN1000477,2025-01-07,51.47
SET2000428,TXN1000478,2025-08-31,27.08
SET2000429,TXN1000479,2025-02-09,13.5
SET2000430,TXN1000480,2025-04-16,61.24
SET2000431,TXN1000481,2025-10-30,36.74
SET2000433,TXN1000483,2025-10-18,11.64
SET2000434,TXN1000484,2025-06-19,84.17
SET2000435,TXN1000485,2025-03-26,364.01
SET2000436,TXN1000486,2025-05-02,57.61
SET2000437,TXN1000488,2025-10-07,93.79
SET2000438,TXN1000489,2025-08-12,99.84
SET2000439,TXN1000490,2025-12-07,48.1
SET2000440,TXN1000491,2025-11-13,29.77
SET2000441,TXN1000492,2025-10-02,112.41
SET2000442,TXN1000493,2025-08-09,14.49
SET2000443,TXN1000494,2025-04-16,129.77
SET2000444,TXN1000495,2025-05-31,48.74
SET2000445,TXN1000497,2025-05-17,43.79
SET2000446,TXN1000498,2025-12-05,209.5
SET2000447,TXN1000499,2025-06-05,81.39
SET2000448,TXN1000500,2025-02-11,51.55
SET2000449,TXN1000501,2025-08-26,50.4
SET2000450,TXN1000502,2025-12-18,59.23
SET2000451,TXN1000503,2025-11-13,453.75
SET2000452,TXN1000504,2025-04-11,23.25
SET2000453,TXN1000505,2025-06-15,158.59
SET2000454,TXN1000506,2025-07-13,105.06
SET2000455,TXN1000507,2025-04-01,228.57
SET2000456,TXN1000508,2025-04-09,110.31
SET2000457,TXN1000509,2025-03-28,66.87
SET2000458,TXN1000510,2025-12-30,150.81
SET2000459,TXN1000512,2025-11-03,121.99
SET2000460,TXN1000513,2025-10-26,209.05
SET2000461,TXN1000514,2025-12-17,71.81
SET2000462,TXN1000515,2025-02-08,47.49
SET2000463,TXN1000516,2025-11-19,33.79
SET2000464,TXN1000517,2025-01-25,95.62
SET2000465,TXN1000518,2025-06-23,33.03
SET2000466,TXN1000519,2025-08-05,50.41
SET2000467,TXN1000520,2025-05-12,30.75
SET2000468,TXN1000521,2025-02-23,100.15
SET2000469,TXN1000522,2025-03-12,36.54
SET2000470,TXN1000523,2025-10-31,23.82
SET2000471,TXN1000524,2025-04-27,27.42
SET2000472,TXN1000525,2025-04-24,42.23
SET2000473,TXN1000526,2025-12-06,45.41
SET2000474,TXN1000527,2025-02-22,81.55
SET2000475,TXN1000528,2025-12-02,58.6
SET2000476,TXN1000529,2025-12-03,89.68
SET2000477,TXN1000530,2025-08-07,95.63
SET2000478,TXN1000531,2025-03-02,120.59
SET2000479,TXN1000532,2025-02-26,14.49
SET2000480,TXN1000533,2025-04-14,27.06
SET2000481,TXN1000534,2025-07-30,103.95
SET2000482,TXN1000535,2025-02-26,78.97
SET2000483,TXN1000536,2025-06-17,145.7
SET2000484,TXN1000537,2025-02-12,19.39
SET2000485,TXN1000538,2025-07-17,45.6
SET2000486,TXN1000539,2025-01-08,52.61
SET2000487,TXN1000540,2025-09-16,76.19
SET2000488,TXN1000541,2025-01-22,68.63
SET2000489,TXN1000543,2025-03-06,60.84
SET2000490,TXN1000544,2025-10-31,199.91
SET2000491,TXN1000545,2025-01-20,258.0
SET2000492,TXN1000546,2025-06-06,27.27
SET2000493,TXN1000547,2025-08-04,69.14
SET2000494,TXN1000548,2025-07-08,126.27
SET2000495,TXN1000549,2025-09-07,106.51
SET2000496,TXN1000551,2025-05-24,81.77
SET2000497,TXN1000554,2025-12-26,19.86
SET2000498,TXN1000555,2025-07-04,100.12
SET2000499,TXN1000556,2025-09-26,27.31
SET2000500,TXN1000557,2025-11-16,75.98
SET2000501,TXN1000558,2025-10-17,86.09
SET2000502,TXN1000559,2025-11-07,70.86
SET2000503,TXN1000561,2025-01-16,56.36
SET2000504,TXN1000562,2025-06-29,171.55
SET2000505,TXN1000563,2025-03-08,47.48
SET2000506,TXN1000564,2025-11-21,67.84
SET2000507,TXN1000565,2025-03-29,42.72
SET2000508,TXN1000566,2025-03-25,150.86
SET2000509,TXN1000567,2025-04-02,70.97
SET2000510,TXN1000568,2025-08-23,36.19
SET2000511,TXN1000569,2025-07-28,67.07
SET2000512,TXN1000570,2025-12-13,54.99
SET2000513,TXN1000571,2025-06-01,203.17
SET2000514,TXN1000573,2025-01-18,22.06
SET2000515,TXN1000574,2025-01-03,99.38
SET2000516,TXN1000575,2025-05-17,278.35
SET2000517,TXN1000576,2025-12-04,173.74
SET2000518,TXN1000577,2025-07-12,27.6
SET2000519,TXN1000578,2025-11-23,53.79
SET2000520,TXN1000579,2025-02-07,65.07
SET2000521,TXN1000580,2025-02-04,65.7
SET2000522,TXN1000581,2025-11-01,90.45
SET2000523,TXN1000582,2025-02-08,50.64
SET2000524,TXN1000584,2025-05-28,138.39
SET2000525,TXN1000585,2025-12-04,27.14
SET2000526,TXN1000586,2025-09-09,35.1
SET2000527,TXN1000587,2025-02-07,27.01
SET2000528,TXN1000590,2025-10-20,135.21
SET2000529,TXN1000591,2025-11-26,35.58
SET2000530,TXN1000592,2025-03-29,24.47
SET2000531,TXN1000593,2025-12-24,46.75
SET2000532,TXN1000594,2025-04-28,57.63
SET2000533,TXN1000595,2025-10-20,78.83
SET2000534,TXN1000596,2025-07-31,17.36
SET2000535,TXN1000598,2025-08-18,32.61
SET2000536,TXN1000599,2025-08-23,39.73
SET2000538,TXN1000601,2025-10-12,11.63
SET2000539,TXN1000602,2025-09-27,86.31
SET2000540,TXN1000603,2025-02-19,86.05
SET2000541,TXN1000604,2025-10-29,34.64
SET2000542,TXN1000605,2025-07-15,46.64
SET2000543,TXN1000606,2025-04-28,177.12
SET2000544,TXN1000607,2025-07-07,320.65
SET2000545,TXN1000608,2025-12-19,156.3
SET2000546,TXN1000611,2025-06-19,18.84
SET2000547,TXN1000612,2025-10-14,63.94
SET2000548,TXN1000613,2025-05-21,126.96
SET2000549,TXN1000614,2025-09-08,15.12
SET2000550,TXN1000615,2025-08-22,31.78
SET2000551,TXN1000616,2025-04-02,34.73
SET2000552,TXN1000618,2025-01-23,80.01
SET2000553,TXN1000620,2025-06-08,77.0
SET2000554,TXN1000621,2025-06-24,26.69
SET2000555,TXN1000622,2025-03-02,47.41
SET2000556,TXN1000624,2025-08-09,59.13
SET2000557,TXN1000625,2025-03-26,35.15
SET2000558,TXN1000627,2025-05-15,65.3
SET2000559,TXN1000628,2025-07-04,55.62
SET2000560,TXN1000629,2025-05-14,274.38
SET2000561,TXN1000630,2025-09-26,90.62
SET2000562,TXN1000631,2025-05-02,49.67
SET2000563,TXN1000632,2025-06-10,41.8
SET2000564,TXN1000633,2025-05-19,25.92
SET2000565,TXN1000634,2025-03-08,63.26
SET2000566,TXN1000635,2025-09-08,85.29
SET2000567,TXN1000636,2025-03-27,14.42
SET2000568,TXN1000637,2025-04-19,22.39
SET2000569,TXN1000638,2025-10-17,44.13
SET2000570,TXN1000639,2025-12-13,27.7
SET2000571,TXN1000640,2025-09-02,69.03
SET2000572,TXN1000641,2025-12-01,77.15
SET2000573,TXN1000642,2025-11-08,60.47
SET2000574,TXN1000643,2025-06-25,103.56
SET2000575,TXN1000644,2025-10-09,41.77
SET2000576,TXN1000645,2025-04-30,64.28
SET2000577,TXN1000646,2025-06-18,29.88
SET2000578,TXN1000648,2025-12-17,70.86
SET2000579,TXN1000650,2025-06-28,58.91
SET2000580,TXN1000651,2025-08-27,64.7
SET2000581,TXN1000652,2025-03-15,83.5
SET2000582,TXN1000653,2025-10-21,86.01
